label,title,content,text,cleaned_text
2,kfm,"I first saw Kentucky Fried Movie when I was 17 years old. I am now 51. A friend of mine mentioned a line from the movie and it was so funny that I went online to buy this movie to show my son and also to see it again with my friends now. It is made up of little skits that are all funny. Maybe a little silly also, but still a good movie to hang out and watch.","I first saw Kentucky Fried Movie when I was 17 years old. I am now 51. A friend of mine mentioned a line from the movie and it was so funny that I went online to buy this movie to show my son and also to see it again with my friends now. It is made up of little skits that are all funny. Maybe a little silly also, but still a good movie to hang out and watch. kfm",i first saw kentucky fried movie when i was 17 years old i am now 51 a friend of mine mentioned a line from the movie and it was so funny that i went online to buy this movie to show my son and also to see it again with my friends now it is made up of little skits that are all funny maybe a little silly also but still a good movie to hang out and watch kfm
0,Good movie for taking a nap,"Saying that this movie is slow would be an understatement. Molasses moves faster. I'm usually a bit leary of films written and directed by the same person and in this case I was right to be. Somehow I managed to watch the first 40 minutes without completely falling asleep. After that I started fast forwarding. As one reviewer said, it's an interesting concept done with very poor execution.","Saying that this movie is slow would be an understatement. Molasses moves faster. I'm usually a bit leary of films written and directed by the same person and in this case I was right to be. Somehow I managed to watch the first 40 minutes without completely falling asleep. After that I started fast forwarding. As one reviewer said, it's an interesting concept done with very poor execution. Good movie for taking a nap",saying that this movie is slow would be an understatement molasses moves faster i m usually a bit leary of films written and directed by the same person and in this case i was right to be somehow i managed to watch the first 40 minutes without completely falling asleep after that i started fast forwarding as one reviewer said it s an interesting concept done with very poor execution good movie for taking a nap
2,raw & inventive,"Think of this album as a genius engineer building a masterfully powerful machine...out of an erector set. 'Selling Live Water' has powerful, very raw and clangy, beats. Sole's voice is that of anger, frustration, and insight, but overall you can really here a guy having fun. He creates incredible lines without using any proper rhyme scheme; his formula is to be dead on with the beats, and at that he is incredible. While Sole's rapping skills cannot be argued with, I must say that the beats are the star of the album. Of all the hip-hop albums to emerge lately this one is 2nd only to El-P's 'Fantastic Damage'. Exceptional songs include 'Da Baddest Poet', 'Salt on Everything', and 'Plutonium'.","Think of this album as a genius engineer building a masterfully powerful machine...out of an erector set. 'Selling Live Water' has powerful, very raw and clangy, beats. Sole's voice is that of anger, frustration, and insight, but overall you can really here a guy having fun. He creates incredible lines without using any proper rhyme scheme; his formula is to be dead on with the beats, and at that he is incredible. While Sole's rapping skills cannot be argued with, I must say that the beats are the star of the album. Of all the hip-hop albums to emerge lately this one is 2nd only to El-P's 'Fantastic Damage'. Exceptional songs include 'Da Baddest Poet', 'Salt on Everything', and 'Plutonium'. raw & inventive",think of this album as a genius engineer building a masterfully powerful machine out of an erector set selling live water has powerful very raw and clangy beats sole s voice is that of anger frustration and insight but overall you can really here a guy having fun he creates incredible lines without using any proper rhyme scheme his formula is to be dead on with the beats and at that he is incredible while sole s rapping skills cannot be argued with i must say that the beats are the star of the album of all the hip hop albums to emerge lately this one is 2nd only to el p s fantastic damage exceptional songs include da baddest poet salt on everything and plutonium raw inventive
2,Fun game true to the anime,I played this game years ago on the Sega Saturn with my cousin's two kids. They were both as in love with the characters and game play as I was. It wasn't the most challenging of games but the humor and cut scenes made it well worth it.We ended up getting into both the anime and manga because of how much we enjoyed the story. Its a shame you can't get this game for less money but if you can find it for less definitely get it. It was a great ending for a beloved console. Wish I still had this game and my Sega Saturn.,I played this game years ago on the Sega Saturn with my cousin's two kids. They were both as in love with the characters and game play as I was. It wasn't the most challenging of games but the humor and cut scenes made it well worth it.We ended up getting into both the anime and manga because of how much we enjoyed the story. Its a shame you can't get this game for less money but if you can find it for less definitely get it. It was a great ending for a beloved console. Wish I still had this game and my Sega Saturn. Fun game true to the anime,i played this game years ago on the sega saturn with my cousin s two kids they were both as in love with the characters and game play as i was it wasn t the most challenging of games but the humor and cut scenes made it well worth it we ended up getting into both the anime and manga because of how much we enjoyed the story its a shame you can t get this game for less money but if you can find it for less definitely get it it was a great ending for a beloved console wish i still had this game and my sega saturn fun game true to the anime
2,A Barbarian's Love Story,"Irony, agony, and love are the major elements in Peter Hargitai's novel, Atilla: A Barbarian's Love Story. Atilla's struggle to free himself from the shackles of the past customs is an emotional rollercoaster.His post-modern fiction would be appreciated by generations who find themselves agonized by people's rejections of the joining of multicultural societies. Some may criticize the novel for the ordinary love story, however, it's what makes it worthy to read. Peter Hargitai was anything but close-minded about the current ""melting pot"" in America, and this is what the world needs. Even if the beginning may not be in sync with the rest of the book, it's a nice sense of Hungarian history. Despite some technical errors, the overall jist of the novel is enjoyable.","Irony, agony, and love are the major elements in Peter Hargitai's novel, Atilla: A Barbarian's Love Story. Atilla's struggle to free himself from the shackles of the past customs is an emotional rollercoaster.His post-modern fiction would be appreciated by generations who find themselves agonized by people's rejections of the joining of multicultural societies. Some may criticize the novel for the ordinary love story, however, it's what makes it worthy to read. Peter Hargitai was anything but close-minded about the current ""melting pot"" in America, and this is what the world needs. Even if the beginning may not be in sync with the rest of the book, it's a nice sense of Hungarian history. Despite some technical errors, the overall jist of the novel is enjoyable. A Barbarian's Love Story",irony agony and love are the major elements in peter hargitai s novel atilla a barbarian s love story atilla s struggle to free himself from the shackles of the past customs is an emotional rollercoaster his post modern fiction would be appreciated by generations who find themselves agonized by people s rejections of the joining of multicultural societies some may criticize the novel for the ordinary love story however it s what makes it worthy to read peter hargitai was anything but close minded about the current melting pot in america and this is what the world needs even if the beginning may not be in sync with the rest of the book it s a nice sense of hungarian history despite some technical errors the overall jist of the novel is enjoyable a barbarian s love story
0,Without soul!,"Does he play Beethoven at all? If you like Beethoven piano concerto, please listen to Backhaus, Schnabel, Fischer or Perahia!","Does he play Beethoven at all? If you like Beethoven piano concerto, please listen to Backhaus, Schnabel, Fischer or Perahia! Without soul!",does he play beethoven at all if you like beethoven piano concerto please listen to backhaus schnabel fischer or perahia without soul
0,"Very Simplistic, Not Pilates","I bought this DVD to supplement Brooke Siler's ""The Pilates Body"" because I wanted to understand some of the beginning exercises better by seeing them in action. I was very disappointed in I received. The exercises amount to simple calisthenics and include very few elements of a standard Pilates mat program. I'm no fitness guru but doing the entire program hardly raised my pulse or challenged my muscles.The DVD format itself is quite nice. If you are looking for some very low-intensity stretches and warmup exercises, this is a great DVD to get. However, calling this a Pilates DVD is a misrepresentation of its content.","I bought this DVD to supplement Brooke Siler's ""The Pilates Body"" because I wanted to understand some of the beginning exercises better by seeing them in action. I was very disappointed in I received. The exercises amount to simple calisthenics and include very few elements of a standard Pilates mat program. I'm no fitness guru but doing the entire program hardly raised my pulse or challenged my muscles.The DVD format itself is quite nice. If you are looking for some very low-intensity stretches and warmup exercises, this is a great DVD to get. However, calling this a Pilates DVD is a misrepresentation of its content. Very Simplistic, Not Pilates",i bought this dvd to supplement brooke siler s the pilates body because i wanted to understand some of the beginning exercises better by seeing them in action i was very disappointed in i received the exercises amount to simple calisthenics and include very few elements of a standard pilates mat program i m no fitness guru but doing the entire program hardly raised my pulse or challenged my muscles the dvd format itself is quite nice if you are looking for some very low intensity stretches and warmup exercises this is a great dvd to get however calling this a pilates dvd is a misrepresentation of its content very simplistic not pilates
2,Couple of strange reviews below,"I don't think MTV came within fifty miles of this band. A couple of the reviews below make me wonder if somebody's working out a personal grudge...Anyway, Toreador is a solid, uptempo, melodic indie rock album by one of the many creative Northwest bands to find themselves trapped at the tail end of the ""grunge"" era. Songs like ""Comet"" and ""Shiva"" are fun, frenetic numbers with a sardonic undertone. One of the best albums of all time? No, of course not. But a good reminder that the Pacific Northwest in the 1990s spawned a lot of quality bands that shouldn't be folded into some one-dimensional ""grunge scene."" Buy it, put it on when you want to feel energized and sing along a little.","I don't think MTV came within fifty miles of this band. A couple of the reviews below make me wonder if somebody's working out a personal grudge...Anyway, Toreador is a solid, uptempo, melodic indie rock album by one of the many creative Northwest bands to find themselves trapped at the tail end of the ""grunge"" era. Songs like ""Comet"" and ""Shiva"" are fun, frenetic numbers with a sardonic undertone. One of the best albums of all time? No, of course not. But a good reminder that the Pacific Northwest in the 1990s spawned a lot of quality bands that shouldn't be folded into some one-dimensional ""grunge scene."" Buy it, put it on when you want to feel energized and sing along a little. Couple of strange reviews below",i don t think mtv came within fifty miles of this band a couple of the reviews below make me wonder if somebody s working out a personal grudge anyway toreador is a solid uptempo melodic indie rock album by one of the many creative northwest bands to find themselves trapped at the tail end of the grunge era songs like comet and shiva are fun frenetic numbers with a sardonic undertone one of the best albums of all time no of course not but a good reminder that the pacific northwest in the 1990s spawned a lot of quality bands that shouldn t be folded into some one dimensional grunge scene buy it put it on when you want to feel energized and sing along a little couple of strange reviews below
2,3120 code scanner,"the reason i bought the scanner was so that i could read the codes on my 95 olds but when it i got it, found out that it does not work on the 95 models. over all i love have it. it works fine on all the other vehicles that i have. would love to know if there is another hook-up that i can use with it to be able to read the codes on the 95 olds. it is a great investment for the do it your self person","the reason i bought the scanner was so that i could read the codes on my 95 olds but when it i got it, found out that it does not work on the 95 models. over all i love have it. it works fine on all the other vehicles that i have. would love to know if there is another hook-up that i can use with it to be able to read the codes on the 95 olds. it is a great investment for the do it your self person 3120 code scanner",the reason i bought the scanner was so that i could read the codes on my 95 olds but when it i got it found out that it does not work on the 95 models over all i love have it it works fine on all the other vehicles that i have would love to know if there is another hook up that i can use with it to be able to read the codes on the 95 olds it is a great investment for the do it your self person 3120 code scanner
2,"Hear, have a hit","Stephen puts it out there, and that just sums up where he's coming from to where he's at.","Stephen puts it out there, and that just sums up where he's coming from to where he's at. Hear, have a hit",stephen puts it out there and that just sums up where he s coming from to where he s at hear have a hit
